timestamp,temperature,location,humidity,pressure
2024-01-01 08:00:00,5.2,Station_A,78,1013.2
2024-01-01 12:00:00,12.4,Station_A,65,1012.8
2024-01-01 16:00:00,8.9,Station_A,72,1014.1
2024-01-01 20:00:00,3.1,Station_A,82,1015.3
2024-01-02 08:00:00,2.8,Station_A,85,1016.2
2024-01-02 12:00:00,9.7,Station_A,68,1014.9
2024-01-02 16:00:00,6.4,Station_A,74,1013.7
2024-01-02 20:00:00,1.2,Station_A,89,1015.8
2024-01-03 08:00:00,15.6,Station_B,58,1012.3
2024-01-03 12:00:00,22.8,Station_B,45,1011.2
2024-01-03 16:00:00,28.9,Station_B,38,1010.8
2024-01-03 20:00:00,19.7,Station_B,52,1012.1
2024-01-04 08:00:00,31.2,Station_B,35,1009.9
2024-01-04 12:00:00,35.7,Station_B,28,1008.4
2024-01-04 16:00:00,33.4,Station_B,32,1009.2
2024-01-04 20:00:00,25.8,Station_B,41,1011.5
2024-01-05 08:00:00,-2.4,Station_C,92,1018.7
2024-01-05 12:00:00,4.1,Station_C,76,1017.3
2024-01-05 16:00:00,1.8,Station_C,88,1018.9
2024-01-05 20:00:00,-5.7,Station_C,95,1019.8
2024-01-06 08:00:00,18.3,Station_B,55,1013.1
2024-01-06 12:00:00,26.4,Station_B,42,1011.8
2024-01-06 16:00:00,31.8,Station_B,36,1010.5
2024-01-06 20:00:00,22.1,Station_B,48,1012.9
2024-01-07 08:00:00,7.9,Station_A,71,1014.6
2024-01-07 12:00:00,14.2,Station_A,59,1013.4
2024-01-07 16:00:00,11.5,Station_A,66,1014.8
2024-01-07 20:00:00,5.6,Station_A,79,1016.1
2024-01-08 08:00:00,-8.2,Station_C,98,1021.3
2024-01-08 12:00:00,-3.5,Station_C,94,1020.1
2024-01-08 16:00:00,-6.1,Station_C,97,1021.8
2024-01-08 20:00:00,-10.4,Station_C,99,1022.4
2024-01-09 08:00:00,34.6,Station_B,31,1008.7
2024-01-09 12:00:00,38.2,Station_B,25,1007.2
2024-01-09 16:00:00,36.9,Station_B,29,1008.1
2024-01-09 20:00:00,29.3,Station_B,38,1010.6
2024-01-10 08:00:00,16.8,Station_A,57,1013.9
2024-01-10 12:00:00,21.4,Station_A,49,1012.5
2024-01-10 16:00:00,18.7,Station_A,54,1013.7
2024-01-10 20:00:00,12.9,Station_A,63,1015.2